,m2,isitma,celly_buildingAge,celly_floortype,location,price,ad_duration,boğaza_bakan,metroya_yakın,teras,eşyalı,bahçeli,bedroom,salon
134,110.0,Kombi,1,1. Kat,"Sarıyer,Zekeriyaköy Mahallesi",4500,6,0,0,1,0,0,2,1
135,65.0,Kombi,24,1. Kat,"Sarıyer,Emirgan Mahallesi",2600,5,0,0,0,1,0,1,1
136,100.0,Kombi,20,Ara Kat,"Sarıyer,Bahçeköy Yeni Mahallesi",1900,8,0,0,0,0,0,2,1
137,70.0,Kombi,26,1. Kat,"Sarıyer,Zekeriyaköy Mahallesi",3500,2,0,0,0,1,1,1,1
138,14.0,Kombi,10,Ara Kat,"Sarıyer,Zekeriyaköy Mahallesi",4100,10,0,0,0,0,0,3,1
140,194.0,Kombi,8,Ara Kat,"Sarıyer,Pınar Mahallesi",17000,0,0,0,0,0,0,4,1
141,5.0,Kombi,8,Ara Kat,"Sarıyer,Maden Mahallesi",7000,6,0,0,1,0,1,4,1
142,130.0,Kombi,26,1. Kat,"Sarıyer,Yeniköy Mahallesi",6000,4,1,0,0,0,1,2,1
143,140.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",5500,0,0,0,0,1,0,3,1
144,80.0,Kombi,16,Çatı Katı,"Sarıyer,Ayazağa Mahallesi",1300,2,0,0,0,0,0,2,1
145,120.0,Kombi,16,Bodrum,"Sarıyer,Ayazağa Mahallesi",2150,0,0,0,0,1,0,3,1
146,100.0,Kombi,18,Ara Kat,"Sarıyer,Ayazağa Mahallesi",1500,2,0,0,0,0,0,2,1
147,95.0,Kombi,25,Ara Kat,"Sarıyer,İstinye Mahallesi",4500,1,0,0,0,0,0,2,1
148,180.0,Kombi,16,Ara Kat,"Sarıyer,Yeniköy Mahallesi",24000,6,1,0,0,0,0,3,1
149,40.0,Kombi,0,Ara Kat,"Sarıyer,Yeniköy Mahallesi",25000,0,1,0,0,0,0,3,1
150,80.0,Kombi,21,Ara Kat,"Sarıyer,İstinye Mahallesi",2000,4,0,0,0,0,0,1,1
151,120.0,Kombi,20,1. Kat,"Sarıyer,Tarabya Mahallesi",3500,12,0,1,0,0,0,2,1
152,315.0,Kombi,7,1. Kat,"Sarıyer,Maden Mahallesi",13500,1,0,0,0,0,1,5,1
153,40.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",6500,1,1,0,0,0,0,4,2
154,170.0,Kombi,30,Ara Kat,"Sarıyer,Tarabya Mahallesi",4000,13,0,1,0,0,1,3,1
155,90.0,Kombi,1,Ara Kat,"Sarıyer,Zekeriyaköy Mahallesi",4500,0,0,0,1,0,0,2,1
156,110.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",3300,0,0,0,0,0,0,2,1
157,80.0,Kombi,29,1. Kat,"Sarıyer,Emirgan Mahallesi",2500,0,1,0,0,1,1,2,1
158,175.0,Kombi,20,Ara Kat,"Sarıyer,Yeniköy Mahallesi",25000,0,1,0,1,0,0,3,1
159,120.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",3500,4,1,1,1,0,0,3,1
160,90.0,Kombi,20,1. Kat,"Sarıyer,Pınar Mahallesi",2550,0,0,0,0,0,0,2,1
161,160.0,Kombi,1,Ara Kat,"Sarıyer,Emirgan Mahallesi",9000,1,0,0,0,0,0,3,1
162,140.0,Kombi,30,Ara Kat,"Sarıyer,Tarabya Mahallesi",4000,26,0,1,0,0,0,3,1
163,90.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",2100,0,0,0,0,0,0,1,1
164,75.0,Kombi,19,1. Kat,"Sarıyer,Darüşşafaka Mahallesi",2000,12,0,0,0,0,1,1,1
165,500.0,Kombi,0,1. Kat,"Sarıyer,Ferahevler Mahallesi",50000,0,1,0,0,0,0,5,1
166,185.0,Kombi,14,1. Kat,"Sarıyer,Tarabya Mahallesi",10000,13,0,0,0,0,1,3,1
167,95.0,Kombi,26,Bodrum,"Sarıyer,Fatih Sultan Mehmet Mahallesi",1300,0,0,0,0,0,0,2,1
168,135.0,Kombi,26,Ara Kat,"Sarıyer,Reşitpaşa Mahallesi",3200,3,0,0,0,0,0,3,1
169,140.0,Kombi,28,Ara Kat,"Sarıyer,Ferahevler Mahallesi",2500,0,0,0,0,0,0,3,1
170,110.0,Kombi,20,Ara Kat,"Sarıyer,İstinye Mahallesi",2500,2,0,0,0,0,0,2,1
171,30.0,Kombi,25,Ara Kat,"Sarıyer,Ferahevler Mahallesi",3400,1,0,0,1,0,0,4,1
172,100.0,Kombi,16,1. Kat,"Sarıyer,Ayazağa Mahallesi",1650,0,0,0,0,0,0,3,1
173,120.0,Kombi,25,Ara Kat,"Sarıyer,Ferahevler Mahallesi",2200,1,0,0,0,0,0,2,1
174,80.0,Kombi,25,Çatı Katı,"Sarıyer,Cumhuriyet Mahallesi",1800,1,0,0,0,0,0,2,1
175,75.0,Kombi,20,Bodrum,"Sarıyer,Reşitpaşa Mahallesi",1500,16,0,0,0,1,0,1,1
176,150.0,Kombi,8,Ara Kat,"Sarıyer,Ayazağa Mahallesi",3050,2,0,0,0,1,0,3,1
